name,teacher,school,student_num
结合词典的中文命名实体识别,李孝男,复旦大学,167 人
Graph Representation Learning for Drug Discovery,史晨策,MILA,91 人
AI TIME PhD 浙江大学CAD&CG国家重点实验室专场二,,,1210 人
度量和改进图信息在图神经网络中的使用,侯逸帆,香港中文大学,90 人
AI TIME PhD ICLR专场五,,,1225 人
计算机网络基础,刘义福 易娟 等,江西省井冈山经贸学校,83 人
不止于准确性：使用CheckList为NLP模型的进行行为测试,吴彤霜,华盛顿大学,115 人
智能技术与系统,,,466 人
AI TIME PhD 哈工大HIT-SCIR实验室专场二,,,1566 人
基于神经隐变量模型的对话状态推理,闵庆凯,南京航空航天大学,92 人
Compilers Techniques,贾棋 徐秀娟 等,大连理工大学,76 人
TIMME: Twitter Ideology-detection via Multi-task Multi-relational Embedding,肖之屏,加州大学洛杉矶分校,138 人
AI TIME PHD - AAAI 专场三,,,838 人
细粒度实体分类综述,金海龙,清华大学,70 人
AI TIME PHD AAAI专场七,,,675 人
神经机器翻译中的曝光偏差，幻觉翻译与跨域稳定性,王朝君,爱丁堡大学,210 人
基于学习排序的对话模型预训练策略,,,512 人
AI TIME PHD AAAI专场六,,,1880 人
WEB前端应用技术,伍红华,湖北理工学院,63 人
探究句法信息对于基于句法距离的语言模型影响,杜文宇,西湖大学,691 人
AI TIME PhD ICLR专场七,,,1031 人
多领域端到端任务型对话系统研究分享,覃立波,哈尔滨工业大学,357 人
轮式机器人入门,索毅,学堂在线,52 人
AI TIME PhD 哈工大HIT-SCIR实验室专场一,,,890 人
计算机二级Python语言程序设计,李挺,学堂在线,47 人
AI TIME PhD：AI+行为经济学,,,154 人
我的科研生涯：从博士到博导,,,199 人
AI TIME：随机梯度方法的学习理论,,,169 人
零基础入门旷视天元MegEngine,杨滔 刘清一 等,北京旷视科技有限公司,44 人
AI TIME PHD AAAI专场八,,,381 人
The 3rd TBSI Workshop on Learning Theory,,,1404 人
南开大学信息安全微专业（002期）,刘哲理 王志 等,南开大学,31 人
AI TIME PHD AAAI专场五,,,526 人
深度学习原理与PyTorch实战,张江,集智学园,22 人
多语言学习：如何从兴趣到科研？,,,128 人
AI TIME：深度推荐系统的探索与实践,,,204 人
基于元适应合成弱监督的少样本文档排序方法,,,125 人
AI TIME：复杂稀缺类分析,,,125 人
疾风计划2022【一年挑战计算机专业】,郑莉 李超 等,学堂在线,14 人
对话系统中的共情表达与情绪支持方法研究,,,93 人
AI TIME：无监督学习的公平性研究,,,117 人
AI TIME：KDD 2021 专场一,,,130 人
AI TIME:知识图谱的高效构建与工业应用,,,148 人
AI TIME PhD 北航ACT实验室专场一,,,223 人
康奈尔大学用户体验设计认证证书项目,Gilly Leshed,Cornell University,13 人
语义解析漫谈：机会与挑战,,,136 人
如何做好学术检索？,,,93 人
面向人类和多智能策略的评估,,,54 人
AI TIME 如何迈向知识驱动的人工智能 ？,,,60 人
